Trt,Year,Cow Id,Date,Total_dist,Day_dist,NPre_dist,NPost_dist,Avg_speed,Day_avg_speed,NPre_avg_speed,NPost_avg_speed,Total_Siniosity,Day_Siniosity,Pre_Siniosity,Post_Siniosity,All_Wood,Day_Wood,Pre_Wood,Post_Wood,Cum_PPT_in,Act_PPT_in,Temp_c,Wind_Degree,Wind_mph,Lunar
Heavy,2005,101,3/13/2005,5416.765949094207,3571.328340415436,714.9666006596286,1130.4710080191476,3.7616430202043105,5.0657139580360795,1.8332476939990479,3.27672755947579,0.03047498104287775,0.09391820331879923,0.12500741590635975,0.23346754795594837,13.986013986013987,28.368794326241137,0.0,0.0,4.94,0,13.7,280,12.5,0.14
Heavy,2005,101,3/14/2005,8230.257038900125,5946.578216064067,1116.6278118092873,1167.051011026769,5.715456277013976,8.434862717821373,2.863148235408429,3.3827565537007795,0.03394088968338719,0.040768934747142216,0.19391810959408132,0.21455320185641233,48.6013986013986,60.28368794326241,1.3157894736842104,76.81159420289855,5.06,0.12,6.2,119,10.1,0.22
Heavy,2005,101,3/15/2005,7334.1334514702585,5072.415360058664,802.5988315979855,1459.1192598136083,5.110894391268473,7.194915404338531,2.0846722898648973,4.229331187865531,0.12395301121958614,0.01778872596484775,0.016055639464312006,0.6531988274802887,42.435424354243544,9.219858156028367,96.15384615384616,51.92307692307693,5.08,0.02,-0.5,119,11.8,0.31
Heavy,2005,4179,2/19/2005,5202.474820197957,3879.3246878989057,573.1519599737829,749.9981723252704,3.6103225677987214,5.790036847610307,1.3945303162379148,2.0833282564590845,0.0035483713326659623,0.05356148681668211,0.4377449789341623,0.5546380412828457,0.0,0.0,0.0,0.0,4.28,0.05,4.2,162,4.3,0.83
Heavy,2005,4179,2/20/2005,6394.073063025534,4955.4146590392365,646.3604080071673,792.2979959791292,4.440328515989954,7.396141282148114,1.5764888000174813,2.200827766608692,0.1290155583596503,0.1417750808175516,0.4708740652480828,0.4087360939006037,0.0,0.0,0.0,0.0,4.29,0.01,9.2,249,10.1,0.9
Heavy,2005,4179,2/21/2005,5577.7138225469735,3976.777811794879,601.3914164711423,999.5445942809517,3.876104115737994,5.935489271335641,1.4703946612986365,2.7765127618915324,0.02975365079137591,0.1454121849520844,0.2759927568707849,0.5774039499614911,0.34843205574912894,0.7518796992481203,0.0,0.0,4.29,0,6.6,263,11.8,0.95
Heavy,2005,4179,2/22/2005,5538.545802335818,4234.3530678787665,781.8976019707574,522.2951324862938,3.846212362733207,6.31992995205786,1.907067321879896,1.4508198124619274,0.09927638696972486,0.11922855404201607,0.3060788607077196,0.29759372593957006,0.0,0.0,0.0,0.0,4.29,0,7.4,273,7.3,0.98
Heavy,2005,4179,2/23/2005,8217.11327646846,5338.736028644384,966.6348672435292,1911.7423805805486,5.706328664214209,7.968262729319975,2.3576460176671445,5.310395501612635,0.0587591199485512,0.05882762828777922,0.22590847547173168,0.15481212648761142,0.36363636363636365,0.0,1.2345679012345678,0.0,4.29,0,7.5,252,5.4,1
Heavy,2005,4179,2/24/2005,4310.813166173297,3264.2548418962124,449.29755389349214,597.2607703835963,2.993620254287012,4.908653897588289,1.0958476924231515,1.6363308777632775,0.2383152956598308,0.26584358028099886,0.016534070639889323,0.2629750679490901,38.19444444444444,21.804511278195488,98.78048780487805,0.0,4.43,0.14,4.6,151,5.7,1
Heavy,2005,4179,2/25/2005,5647.6330013822735,4475.254232553597,471.94110045462565,700.4376683740502,3.9219673620710234,6.679483929184473,1.1510758547673796,1.9456601899279171,0.024190000795346635,0.04960132373751327,0.2070728865506675,0.25508909361407844,0.0,0.0,0.0,0.0,4.44,0.01,-1.8,82,4.5,0.98
Heavy,2005,4179,2/26/2005,3749.4401504798425,2690.9943952774333,535.3794248980965,523.0663303043141,2.6037778822776683,4.016409545190199,1.305803475361211,1.4529620286230946,0.36596350098238933,0.5342974431600044,0.27161913207520133,0.06656704263562264,53.31010452961672,60.150375939849624,1.2195121951219512,100.0,4.7,0.26,0.1,137,3.4,0.94
Heavy,2005,4179,2/27/2005,4472.785591735523,2964.4155242368565,615.5125553282174,892.8575121704496,3.106101105371891,4.4245007824430695,1.5012501349468719,2.4801597560290265,0.060719491882121786,0.0853753288335919,0.01956267287165334,0.020100389330818234,92.36111111111111,89.55223880597015,98.78048780487805,90.27777777777779,4.7,0,2.6,271,5.7,0.88
Heavy,2005,4179,2/28/2005,7234.770096405773,6064.956506328599,658.6735036530864,511.1400864240835,5.024145900281787,9.052173890042685,1.606520740617284,1.4198335734002319,0.021135098877031706,0.018654857104592595,0.10540407502946673,0.05912978229303933,70.83333333333334,44.02985074626866,91.46341463414635,97.22222222222221,4.7,0,2.3,300,8,0.8
Heavy,2005,4179,3/1/2005,5815.950564128926,4680.366657537722,679.4121806702735,456.17172592093164,4.038854558422865,6.638817953954216,1.742082514539163,1.322236886727338,0.07439076194163162,0.09271760892063019,0.04016330021929781,0.04711299567799956,45.48611111111111,39.71631205673759,96.15384615384616,0.0,4.7,0,4.9,280,8.7,0.71
Heavy,2005,4179,3/2/2005,5424.284947198403,4395.271732093783,510.91952191868796,518.0936931859368,3.7668645466655573,6.234427988785507,1.310050056201764,1.5017208498143095,0.04483402181016284,0.07484040007721751,0.05840444143582897,0.30192737640301415,0.6944444444444444,0.0,2.564102564102564,0.0,4.7,0,5.2,282,7,0.6
