ID,Cow_ID,FixDate,FixTime,Northing,Easting
363,4535_19AN,2018-11-22,1:30:54,3626859.5,540726.04
364,4535_19AN,2018-11-22,1:40:48,3626879.4,540720.58
365,4535_19AN,2018-11-22,1:50:43,3626854.9,540684.84
366,4535_19AN,2018-11-22,2:00:39,3626837,540682.62
367,4535_19AN,2018-11-22,2:10:44,3626809.7,540674.93
368,4535_19AN,2018-11-22,2:20:49,3626802.3,540667.54
369,4535_19AN,2018-11-22,2:30:40,3626822.6,540669.62
370,4535_19AN,2018-11-22,2:41:20,3626820.3,540688.1
371,4535_19AN,2018-11-22,2:50:43,3626828.1,540676.49
372,4535_19AN,2018-11-22,3:00:49,3626815.3,540659.03
373,4535_19AN,2018-11-22,3:10:34,3626749.9,540661.12
374,4535_19AN,2018-11-22,3:21:06,3626630.1,540709.51
375,4535_19AN,2018-11-22,3:30:35,3626597.3,540702.67
376,4535_19AN,2018-11-22,3:40:56,3626604.8,540709.69
377,4535_19AN,2018-11-22,3:50:42,3626585.1,540682.35
378,4535_19AN,2018-11-22,4:00:42,3626581.1,540677.32
379,4535_19AN,2018-11-22,4:10:53,3626587.4,540680.32
380,4535_19AN,2018-11-22,4:21:23,3626585.8,540688.23
381,4535_19AN,2018-11-22,4:30:45,3626587.6,540674.33
382,4535_19AN,2018-11-22,4:40:37,3626582.5,540686.6
383,4535_19AN,2018-11-22,4:50:40,3626587.6,540681.53
384,4535_19AN,2018-11-22,5:00:40,3626588.3,540673.52
385,4535_19AN,2018-11-22,5:10:51,3626581.3,540693.76
386,4535_19AN,2018-11-22,5:20:42,3626575,540712.52
387,4535_19AN,2018-11-22,5:30:46,3626573.3,540698.81
388,4535_19AN,2018-11-22,5:40:43,3626580.2,540700.73
389,4535_19AN,2018-11-22,5:50:41,3626567.1,540704.65
390,4535_19AN,2018-11-22,6:01:21,3626585.9,540684.95
391,4535_19AN,2018-11-22,6:11:03,3626585.7,540710.97
392,4535_19AN,2018-11-22,6:20:33,3626582.4,540691.59
393,4535_19AN,2018-11-22,6:30:45,3626581.6,540701.25
394,4535_19AN,2018-11-22,6:40:38,3626596.8,540704.29
395,4535_19AN,2018-11-22,6:50:42,3626583.7,540721.51
396,4535_19AN,2018-11-22,7:01:23,3626583.2,540706.84
397,4535_19AN,2018-11-22,7:10:58,3626585.4,540708.13
398,4535_19AN,2018-11-22,7:20:54,3626585.3,540714.79
399,4535_19AN,2018-11-22,7:30:37,3626589.8,540697.91
400,4535_19AN,2018-11-22,7:40:42,3626586.4,540715.91
401,4535_19AN,2018-11-22,7:50:42,3626588.8,540697.53
402,4535_19AN,2018-11-22,8:00:46,3626579,540709.9
403,4535_19AN,2018-11-22,8:10:46,3626731.3,540844.55
404,4535_19AN,2018-11-22,8:20:43,3626729,540884.88
405,4535_19AN,2018-11-22,8:30:54,3626705.2,540884.64
406,4535_19AN,2018-11-22,8:40:51,3626804.9,540732.2
407,4535_19AN,2018-11-22,8:50:43,3626963.2,540660.38
408,4535_19AN,2018-11-22,9:01:00,3627085.2,540581.36
409,4535_19AN,2018-11-22,9:11:40,3627283.4,540541.12
410,4535_19AN,2018-11-22,9:20:43,3627309.4,540654.75
411,4535_19AN,2018-11-22,9:30:42,3627283,540704.22
412,4535_19AN,2018-11-22,9:41:13,3627155.1,540822.82
413,4535_19AN,2018-11-22,9:50:28,3627091.3,540839.73
414,4535_19AN,2018-11-22,10:00:32,3627154.5,540738.6
415,4535_19AN,2018-11-22,10:10:36,3626850,540884.35
416,4535_19AN,2018-11-22,10:21:20,3626711,540970.15
417,4535_19AN,2018-11-22,10:31:12,3626355.2,541116.68
418,4535_19AN,2018-11-22,10:41:41,3626235.3,541060.11
419,4535_19AN,2018-11-22,10:50:49,3626430.7,541012.16
420,4535_19AN,2018-11-22,11:00:39,3626150,541204.56
421,4535_19AN,2018-11-22,11:10:32,3626121.6,541196.69
422,4535_19AN,2018-11-22,11:20:47,3626122.5,541200.43
