Pixel,Northing,Easting
417,3625407.378,539897.2045
418,3625467.378,548537.2045
419,3629787.378,546677.2045
420,3625257.378,545147.2045
421,3627627.378,542897.2045
422,3627447.378,546077.2045
423,3626217.378,546737.2045
424,3626787.378,539237.2045
425,3627747.378,541517.2045
426,3625527.378,538187.2045
427,3626937.378,542837.2045
428,3626757.378,547667.2045
429,3624657.378,545717.2045
430,3625827.378,539777.2045
431,3630957.378,542267.2045
432,3626307.378,540977.2045
433,3627957.378,546677.2045
434,3626517.378,545687.2045
435,3625497.378,537767.2045
436,3630387.378,542837.2045
437,3627747.378,547667.2045
438,3626307.378,547847.2045
439,3625707.378,547337.2045
440,3627207.378,543827.2045
441,3625407.378,541277.2045
442,3629697.378,547757.2045
443,3626127.378,543317.2045
444,3625497.378,548267.2045
445,3626667.378,539057.2045
446,3628317.378,541337.2045
447,3625617.378,546977.2045
448,3627117.378,542687.2045
449,3624297.378,548387.2045
450,3625437.378,543977.2045
451,3625797.378,544637.2045
452,3626337.378,542237.2045
453,3629487.378,541907.2045
454,3628767.378,541487.2045
455,3624237.378,547817.2045
456,3629427.378,547577.2045
457,3626367.378,540677.2045
458,3625677.378,547457.2045
459,3628707.378,540407.2045
460,3626217.378,546527.2045
461,3626487.378,540437.2045
462,3625497.378,543257.2045
463,3626367.378,539897.2045
464,3626517.378,546197.2045
465,3628197.378,540647.2045
466,3625677.378,544487.2045
467,3626487.378,540347.2045
468,3627147.378,542087.2045
469,3625617.378,545927.2045
470,3625467.378,547907.2045
471,3627777.378,548027.2045
472,3628497.378,540617.2045
473,3626667.378,540857.2045
474,3628437.378,545837.2045
475,3625917.378,538607.2045
476,3625647.378,539447.2045
477,3628047.378,545927.2045
478,3624387.378,543737.2045
479,3626667.378,543797.2045
480,3625737.378,539087.2045
481,3625557.378,546437.2045
482,3630447.378,543497.2045
483,3628227.378,539747.2045
484,3625437.378,543677.2045
485,3626637.378,544187.2045
486,3627297.378,543917.2045
487,3628077.378,544007.2045
488,3625557.378,545117.2045
489,3627837.378,546677.2045
490,3627687.378,541397.2045
491,3627777.378,539957.2045
492,3628647.378,539717.2045
493,3626607.378,544847.2045
494,3626277.378,546827.2045
495,3623067.378,544157.2045
496,3628587.378,541007.2045
497,3625617.378,543587.2045
498,3626277.378,540167.2045
499,3628587.378,539507.2045
500,3627687.378,546047.2045
501,3625677.378,539237.2045
502,3629037.378,543707.2045
503,3626847.378,545207.2045
504,3625947.378,544337.2045
505,3626877.378,540167.2045
506,3623487.378,539387.2045
507,3629637.378,540467.2045
508,3628077.378,539087.2045
509,3630357.378,543107.2045
510,3628677.378,542027.2045
511,3623217.378,543137.2045
512,3625317.378,548387.2045
513,3625767.378,547607.2045
514,3626397.378,548387.2045
515,3626157.378,546077.2045
516,3625947.378,543767.2045
517,3627027.378,538187.2045
518,3628197.378,539807.2045
519,3625617.378,544967.2045
520,3624537.378,540197.2045
521,3630207.378,544907.2045
522,3626815.724,537799.0081
523,3626637.378,538007.2045
524,3625737.378,538277.2045
525,3628677.378,545777.2045
526,3626157.378,547517.2045
527,3626907.378,538397.2045
528,3626277.378,539717.2045
529,3625647.378,538517.2045
530,3624027.378,544457.2045
531,3628407.378,542417.2045
532,3625347.378,544667.2045
533,3624087.378,543347.2045
534,3626697.378,541097.2045
535,3625677.378,543107.2045
536,3625497.378,542387.2045
537,3625647.378,544577.2045
538,3627147.378,538667.2045
539,3625287.378,541097.2045
540,3626097.378,540317.2045
541,3625557.378,544847.2045
542,3626007.378,547187.2045
543,3628287.378,541727.2045
544,3626817.378,545177.2045
545,3630567.378,544427.2045
546,3627147.378,546077.2045
547,3627057.378,545147.2045
548,3628407.378,548327.2045
549,3627717.378,540767.2045
550,3625827.378,546587.2045
551,3625677.378,547097.2045
552,3626157.378,546317.2045
553,3625287.378,544097.2045
554,3625407.378,545447.2045
555,3628887.378,547487.2045
556,3625437.378,546377.2045
557,3625767.378,545417.2045
558,3627537.378,539897.2045
559,3631137.378,543587.2045
560,3626007.378,537947.2045
561,3626277.378,537497.2045
562,3629577.378,546317.2045
563,3626427.378,539177.2045
564,3627807.378,541217.2045
565,3629547.378,545237.2045
566,3627687.378,544577.2045
567,3627387.378,542237.2045
568,3627927.378,539177.2045
569,3629397.378,545657.2045
570,3627537.378,542117.2045
571,3626337.378,548177.2045
572,3626697.378,542897.2045
573,3625947.378,547697.2045
574,3627747.378,542627.2045
575,3627507.378,539117.2045
576,3626637.378,545837.2045
577,3625977.378,541967.2045
578,3629727.378,546737.2045
579,3626877.378,541097.2045
580,3626697.378,537887.2045
581,3630417.378,545747.2045
582,3628407.378,546347.2045
583,3624567.378,538217.2045
584,3627447.378,539867.2045
585,3629727.378,540407.2045
586,3625977.378,544847.2045
587,3629577.378,545057.2045
588,3625497.378,543707.2045
589,3626667.378,541727.2045
590,3630087.378,542777.2045
591,3625497.378,546497.2045
592,3627507.427,548623.2655
593,3625407.378,539447.2045
594,3626157.378,545897.2045
595,3629697.378,542267.2045
596,3626127.378,544757.2045
597,3625887.378,546227.2045
598,3626847.378,547577.2045
599,3627267.378,538247.2045
600,3625527.378,547637.2045
601,3626877.378,545057.2045
602,3629097.378,539957.2045
603,3627267.378,544157.2045
604,3627657.378,541397.2045
605,3626397.378,543107.2045
606,3629007.378,546677.2045
607,3629157.378,542387.2045
608,3625707.378,547427.2045
609,3624177.378,547397.2045
610,3629247.378,539957.2045
611,3625077.378,540467.2045
612,3624897.378,544637.2045
613,3625407.378,546377.2045
614,3627387.378,543407.2045
615,3627297.378,544247.2045
616,3627747.378,539897.2045
617,3625497.378,543617.2045
618,3625467.378,542897.2045
619,3626727.378,542657.2045
620,3627957.378,545447.2045
621,3625527.378,548057.2045
622,3625797.378,545207.2045
623,3626997.378,543047.2045
624,3625587.378,540527.2045
625,3627327.378,548537.2045
626,3626127.378,544727.2045
627,3625437.378,545357.2045
628,3626937.378,545537.2045
629,3629337.378,544097.2045
630,3629817.378,542087.2045
631,3628407.378,541367.2045
632,3627417.378,541577.2045
633,3626577.378,541817.2045
634,3628557.378,540647.2045
635,3625497.378,540617.2045
636,3629457.378,546227.2045
637,3625617.378,541367.2045
638,3626157.378,542687.2045
639,3627447.378,545897.2045
640,3628017.378,544997.2045
641,3628527.378,542237.2045
642,3625947.378,540107.2045
643,3626427.378,547577.2045
644,3625737.378,539177.2045
645,3626877.378,538787.2045
646,3627507.378,540317.2045
647,3625377.378,546557.2045
648,3626487.378,543947.2045
649,3626367.378,546917.2045
650,3625797.378,545657.2045
651,3628527.378,543827.2045
652,3626667.378,544337.2045
653,3623337.378,546407.2045
654,3625707.378,547697.2045
655,3626517.378,547727.2045
656,3626487.378,538457.2045
657,3626547.378,544067.2045
658,3626067.378,546197.2045
659,3630447.378,541967.2045
660,3629037.378,545927.2045
661,3626037.378,541547.2045
